rank,ticker,discovery_source,source_universe_type,market_cap_usd,selection_reason,provenance
27,BFH,S&P SmallCap 600 Quality FCF Aristocrats 2026-08-31,BROAD,,Consumer-finance cash-flow candidate,PROSPECTIVE_AUDITABLE
28,SANM,S&P SmallCap 600 Quality Index 2026-05-29,BROAD,,Electronics manufacturing quality candidate,PROSPECTIVE_AUDITABLE
29,YOU,S&P SmallCap 600 Quality Index 2026-05-29,BROAD,,Identity/security quality candidate,PROSPECTIVE_AUDITABLE
30,ECG,S&P SmallCap 600 Quality Index 2026-05-29,BROAD,,Construction-services quality candidate,PROSPECTIVE_AUDITABLE
31,AWI,S&P SmallCap 600 Quality Index 2026-05-29,BROAD,,Building-products quality candidate,PROSPECTIVE_AUDITABLE
32,PJT,S&P SmallCap 600 Quality Index 2026-05-29,BROAD,,Advisory/financial quality candidate,PROSPECTIVE_AUDITABLE
33,NVT,S&P MidCap 400 current constituents 2026-08-31,BROAD,,Electrical protection infrastructure candidate,PROSPECTIVE_AUDITABLE
34,CRS,S&P MidCap 400 current constituents 2026-08-31,BROAD,,Specialty materials/aerospace candidate,PROSPECTIVE_AUDITABLE
35,ATI,S&P MidCap 400 current constituents 2026-08-31,BROAD,,Specialty materials/aerospace candidate,PROSPECTIVE_AUDITABLE
36,THC,S&P MidCap 400 current constituents 2026-08-31,BROAD,,Healthcare services candidate,PROSPECTIVE_AUDITABLE
37,USFD,S&P MidCap 400 Value 2026-08-31,BROAD,,Food distribution candidate,PROSPECTIVE_AUDITABLE
38,RS,S&P MidCap 400 Value 2026-08-31,BROAD,,Metals distribution candidate,PROSPECTIVE_AUDITABLE
39,WCC,S&P MidCap 400 Value 2026-08-31,BROAD,,Electrical distribution candidate,PROSPECTIVE_AUDITABLE
40,PFGC,S&P MidCap 400 Value 2026-08-31,BROAD,,Food distribution candidate,PROSPECTIVE_AUDITABLE
41,GWRE,S&P MidCap 400 equal-weight current constituents 2026-07-31,BROAD,,Insurance software candidate,PROSPECTIVE_AUDITABLE
42,ELF,S&P MidCap 400 equal-weight current constituents 2026-07-31,BROAD,,Consumer growth candidate,PROSPECTIVE_AUDITABLE
43,SN,S&P MidCap 400 consumer discretionary 2026-08-31,BROAD,,Consumer product growth candidate,PROSPECTIVE_AUDITABLE
44,TXRH,S&P MidCap 400 consumer discretionary 2026-08-31,BROAD,,Restaurant compounder candidate,PROSPECTIVE_AUDITABLE
45,DKS,S&P MidCap 400 consumer discretionary 2026-08-31,BROAD,,Retail cash-flow candidate,PROSPECTIVE_AUDITABLE
46,FIX,Off-index ATLAS challenger / SEC results review,BROAD,,Mechanical/electrical infrastructure candidate,PROSPECTIVE_AUDITABLE
47,EME,Off-index ATLAS challenger / SEC results review,BROAD,,Electrical/mechanical infrastructure candidate,PROSPECTIVE_AUDITABLE
48,MLI,Off-index ATLAS challenger / current valuation review,BROAD,,Industrial/materials candidate,PROSPECTIVE_AUDITABLE
49,WMS,Off-index ATLAS challenger / SEC results review,BROAD,,Water infrastructure candidate,PROSPECTIVE_AUDITABLE
50,LMB,Off-index ATLAS challenger / current holdings audit,BROAD,,Mechanical/building-services candidate,PROSPECTIVE_AUDITABLE
